"cluster","tf","ntree","oob_r2","imp_stability_spearman","imp_top5_jaccard"
"cDC2","NFKB1",1000,0.86948142279539,0.97645427547363,0.822222222222222
"cDC2","ETS1",100,0.741980238576773,0.850447243556921,0.697354497354497
"cDC2","ETS1",500,0.749307179857125,0.958254992319508,0.762962962962963
"cDC2","ETS1",1000,0.748994631384024,0.975080389144905,0.881481481481481
"cDC2","ELF1",100,0.822370650176673,0.854251851851852,0.674074074074074
"cDC2","ELF1",500,0.826362467137897,0.965085646014678,0.844444444444444
"cDC2","ELF1",1000,0.826522173682641,0.979626011264721,0.881481481481481
"cDC2","FOXP1",100,0.868840422699163,0.900822529441884,0.611640211640212
"cDC2","FOXP1",500,0.876175934933022,0.976025123741253,0.82962962962963
"cDC2","FOXP1",1000,0.877161602823087,0.986278614097969,0.762962962962963
"cDC2","PAX8",100,0.704378956456742,0.852958252261478,0.933333333333333
"cDC2","PAX8",500,0.704866384554737,0.960736917562724,1
"cDC2","PAX8",1000,0.707488383836264,0.977757842635262,1
"cDC2","REL",100,0.753464516262038,0.851947977470558,0.874074074074074
"cDC2","REL",500,0.765229070699021,0.96140256016385,1
"cDC2","REL",1000,0.766995674197961,0.977485987369858,1
"cDC2","KLF3",100,0.781799283695592,0.860256972179553,0.881481481481481
"cDC2","KLF3",500,0.7878510922315,0.965344120157023,0.822222222222222
"cDC2","KLF3",1000,0.78945951102772,0.98112619901007,0.822222222222222
"cDC2","ZNF331",100,0.809020745527293,0.879061546338965,0.82962962962963
"cDC2","ZNF331",500,0.819459089424192,0.96485052056665,1
"cDC2","ZNF331",1000,0.82232812228282,0.98081215224441,1
"cDC2","ATF4",100,0.840462466552257,0.892739648404164,0.82962962962963
"cDC2","ATF4",500,0.845325791988771,0.970783000512033,0.933333333333333
"cDC2","ATF4",1000,0.844884039914894,0.985280764635603,1
"cDC2","NFIL3",100,0.818956313489775,0.875940604198669,0.755555555555556
"cDC2","NFIL3",500,0.828730670026029,0.971785765488991,0.785185185185185
"cDC2","NFIL3",1000,0.830027939663486,0.985345622119815,0.762962962962963
"cDC2","ZBTB1",100,0.82717235451788,0.872324423963133,0.82962962962963
"cDC2","ZBTB1",500,0.836213603207451,0.972668919610855,0.881481481481481
"cDC2","ZBTB1",1000,0.837509147332477,0.986089093701997,1
"cDC2","TFDP2",100,0.827535410303678,0.817350810718553,1
"cDC2","TFDP2",500,0.834653210381224,0.937440655401946,1
"cDC2","TFDP2",1000,0.836266381357023,0.96270599078341,1
"cDC2","CEBPD",100,0.810171517554304,0.881806588154975,0.82962962962963
"cDC2","CEBPD",500,0.818510273111183,0.971470626386755,1
"cDC2","CEBPD",1000,0.817727878570811,0.985769448711384,1
