"dataset","cluster","tf","deltaPagoda","cor_score_expr","anchor_sign","anchored_delta","flipped","weak_anchor"
"cz_influenza","natural_killer_cell","HEY2",-2.72768672227368,0.0274724374174065,1,-2.72768672227368,FALSE,TRUE
"cz_influenza","natural_killer_cell","NFKB2",-2.63072073531523,0.16315810567712,1,-2.63072073531523,FALSE,TRUE
"cz_influenza","natural_killer_cell","TCF7",-2.56870767303922,0.179827090871096,1,-2.56870767303922,FALSE,TRUE
"cz_influenza","natural_killer_cell","ELF3",-2.56748006619137,-0.00597077312341087,-1,2.56748006619137,TRUE,TRUE
"cz_influenza","natural_killer_cell","ZNF331",-2.55551189647378,0.459393303495032,1,-2.55551189647378,FALSE,FALSE
"cz_influenza","natural_killer_cell","NR4A3",-2.49914094532835,0.0851712819202685,1,-2.49914094532835,FALSE,TRUE
"cz_influenza","natural_killer_cell","ID2",-2.49727050033383,0.0239042524587671,1,-2.49727050033383,FALSE,TRUE
"cz_influenza","natural_killer_cell","NFIC",-2.48911272787964,-0.0175914805811484,-1,2.48911272787964,TRUE,TRUE
"cz_influenza","natural_killer_cell","JUN",-2.41411452902058,0.386085811303529,1,-2.41411452902058,FALSE,FALSE
"cz_influenza","natural_killer_cell","TFCP2",-2.27285529224414,-0.116061569120505,-1,2.27285529224414,TRUE,TRUE
"cz_influenza","natural_killer_cell","BCL6",-2.19767273737253,0.169456862765476,1,-2.19767273737253,FALSE,TRUE
"cz_influenza","natural_killer_cell","ZBTB14",-2.15720321067522,-0.0192877024098738,-1,2.15720321067522,TRUE,TRUE
"cz_influenza","natural_killer_cell","NFATC2",-1.79650404164184,-0.00411226957090022,-1,1.79650404164184,TRUE,TRUE
"cz_influenza","natural_killer_cell","CEBPD",-1.49737516137745,-0.0305942131607354,-1,1.49737516137745,TRUE,TRUE
"cz_influenza","natural_killer_cell","CREM",-1.47396070562873,0.393427135171388,1,-1.47396070562873,FALSE,FALSE
"cz_influenza","natural_killer_cell","FOS",-1.43952452632572,0.367933645421874,1,-1.43952452632572,FALSE,FALSE
"cz_influenza","natural_killer_cell","IKZF2",-1.34451742711024,0.115529109907712,1,-1.34451742711024,FALSE,TRUE
"cz_influenza","natural_killer_cell","FOXP4",-1.33177963457416,0.0249367032436406,1,-1.33177963457416,FALSE,TRUE
"cz_influenza","natural_killer_cell","TAF1",-1.33042925377177,0.00446755694683653,1,-1.33042925377177,FALSE,TRUE
"cz_influenza","natural_killer_cell","RELB",1.4572746974226,-0.105773015677881,-1,-1.4572746974226,TRUE,TRUE
"cz_influenza","natural_killer_cell","TFEC",1.65630052573068,0.11607305818387,1,1.65630052573068,FALSE,TRUE
"cz_influenza","natural_killer_cell","ZNF683",1.71483745264112,0.0719580230092182,1,1.71483745264112,FALSE,TRUE
"cz_influenza","natural_killer_cell","ASCL2",1.73506026733835,0.402642876225666,1,1.73506026733835,FALSE,FALSE
"cz_influenza","natural_killer_cell","CEBPB",1.74808883191638,-0.137456674297441,-1,-1.74808883191638,TRUE,TRUE
"cz_influenza","natural_killer_cell","EOMES",1.82048357030983,-0.08527030458072,-1,-1.82048357030983,TRUE,TRUE
"cz_influenza","natural_killer_cell","PPARA",1.88827624423672,0.0147888771957546,1,1.88827624423672,FALSE,TRUE
"cz_influenza","natural_killer_cell","MGA",1.90145696763315,-0.0591461844152888,-1,-1.90145696763315,TRUE,TRUE
